COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE;LONGUEUR;NOMENCLATURE;COMMENTAIRES
QP2024;Quartier prioritaire de la politique de la ville d'appartenance de l'équipement;liste;liste;CHAR;8;millésime 2024;https://www.insee.fr/fr/information/8063612
QP2024;Quartier prioritaire de la politique de la ville d'appartenance de l'équipement;CSZ;Commune sans zonage. La commune n'est pas concernée par les QP2024.;CHAR;8;;Modalité spécifique à la BPE
QP2024;Quartier prioritaire de la politique de la ville d'appartenance de l'équipement;HZ;hors zonage : localisation hors du zonage QP2024.;CHAR;8;;Modalité spécifique à la BPE
QP2024;Quartier prioritaire de la politique de la ville d'appartenance de l'équipement;IND;l’appartenance au zonage QP2024 est indéterminée.;CHAR;8;;Modalité spécifique à la BPE
QUALITE_GEOLOC;Indicateur de précision du repérage par l’adresse;11;Voie sûre, Numéro trouvé;CHAR;2;;
QUALITE_GEOLOC;Indicateur de précision du repérage par l’adresse;12;Voie sûre, Position aléatoire dans la voie;CHAR;2;;
QUALITE_GEOLOC;Indicateur de précision du repérage par l’adresse;21;Voie probable, Numéro trouvé;CHAR;2;;
QUALITE_GEOLOC;Indicateur de précision du repérage par l’adresse;22;Voie probable, Position aléatoire dans la voie;CHAR;2;;
QUALITE_GEOLOC;Indicateur de précision du repérage par l’adresse;33;Voie inconnue, Position aléatoire dans la commune;CHAR;2;;
QUALITE_GEOLOC;Indicateur de précision du repérage par l’adresse;_U;Indéterminé;CHAR;2;;
QUALITE_GEOLOC;Indicateur de précision du repérage par l’adresse;_Z;Sans objet;CHAR;2;;
QUALITE_XY;Indicateur de qualité de géolocalisation;A;Acceptable;CHAR;2;;
QUALITE_XY;Indicateur de qualité de géolocalisation;B;Bonne;CHAR;2;;
QUALITE_XY;Indicateur de qualité de géolocalisation;M;Mauvaise;CHAR;2;;
QUALITE_XY;Indicateur de qualité de géolocalisation;_U;Indéterminée;CHAR;2;;
QUALITE_XY;Indicateur de qualité de géolocalisation;_Z;Sans objet;CHAR;2;;
QUALI_IRIS;Indicateur de qualité du géoréférencement dans l'iris;1;Appartenance sûre au zonage;CHAR;2;;
QUALI_IRIS;Indicateur de qualité du géoréférencement dans l'iris;2;Appartenance probable au zonage;CHAR;2;;
QUALI_IRIS;Indicateur de qualité du géoréférencement dans l'iris;3;Appartenance aléatoire ou indéterminée au zonage;CHAR;2;;
QUALI_IRIS;Indicateur de qualité du géoréférencement dans l'iris;_Z;Sans objet;CHAR;2;;
QUALI_QP2024;Indicateur de qualité du géoréférencement dans le quartier prioritaire de la politique de la ville;1;Appartenance sûre au zonage;CHAR;2;;
QUALI_QP2024;Indicateur de qualité du géoréférencement dans le quartier prioritaire de la politique de la ville;2;Appartenance probable au zonage;CHAR;2;;
QUALI_QP2024;Indicateur de qualité du géoréférencement dans le quartier prioritaire de la politique de la ville;3;Appartenance aléatoire ou indéterminée au zonage;CHAR;2;;
QUALI_QP2024;Indicateur de qualité du géoréférencement dans le quartier prioritaire de la politique de la ville;_Z;Sans objet;CHAR;2;;
QUALI_QVA;Indicateur de qualité du géoréférencement dans le quartier de veille active;1;Appartenance sûre au zonage;CHAR;2;;
QUALI_QVA;Indicateur de qualité du géoréférencement dans le quartier de veille active;2;Appartenance probable au zonage;CHAR;2;;
QUALI_QVA;Indicateur de qualité du géoréférencement dans le quartier de veille active;3;Appartenance aléatoire ou indéterminée au zonage;CHAR;2;;
QUALI_QVA;Indicateur de qualité du géoréférencement dans le quartier de veille active;_Z;Sans objet;CHAR;2;;
QUALI_ZUS;Indicateur de qualité du géoréférencement dans la zone urbaine sensible;1;Appartenance sûre au zonage;CHAR;2;;
QUALI_ZUS;Indicateur de qualité du géoréférencement dans la zone urbaine sensible;2;Appartenance probable au zonage;CHAR;2;;
QUALI_ZUS;Indicateur de qualité du géoréférencement dans la zone urbaine sensible;3;Appartenance aléatoire ou indéterminée au zonage;CHAR;2;;
QUALI_ZUS;Indicateur de qualité du géoréférencement dans la zone urbaine sensible;_Z;Sans objet;CHAR;2;;
QVA;Quartier de veille active d'appartenance de l'équipement;liste;liste;CHAR;7;millésime 2015;https://sig.ville.gouv.fr/page/12
QVA;Quartier de veille active d'appartenance de l'équipement;CSZ;Commune sans zonage. La commune n'est pas concernée par les QVA.;CHAR;7;;Modalité spécifique à la BPE
QVA;Quartier de veille active d'appartenance de l'équipement;HZ;hors zonage : localisation hors du zonage QVA.;CHAR;7;;Modalité spécifique à la BPE
QVA;Quartier de veille active d'appartenance de l'équipement;IND;l’appartenance au zonage QVA est indéterminée.;CHAR;7;;Modalité spécifique à la BPE
REG;Région d'implantation de l'équipement;liste;liste;CHAR;2;millésime 2024;https://www.insee.fr/fr/information/8064273
RPI;Type de regroupement pédagogique intercommunal;C;RPI concentré;CHAR;2;;
RPI;Type de regroupement pédagogique intercommunal;D;RPI dispersé;CHAR;2;;
RPI;Type de regroupement pédagogique intercommunal;_Z;Sans objet;CHAR;2;;
SAISONNIER;Présence d’un équipement à l’ouverture exclusivement saisonnière;0;Absence;CHAR;2;;
SAISONNIER;Présence d’un équipement à l’ouverture exclusivement saisonnière;1;Présence;CHAR;2;;
SAISONNIER;Présence d’un équipement à l’ouverture exclusivement saisonnière;_U;Indéterminé;CHAR;2;;
SAISONNIER;Présence d’un équipement à l’ouverture exclusivement saisonnière;_Z;Sans objet;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;A1;Services publics;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;A2;Services généraux;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;A3;Services automobiles;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;A4;Artisanat du bâtiment;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;A5;Autres services;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;B1;Grandes surfaces;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;B2;Commerces alimentaires;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;B3;Commerces spécialisés non-alimentaires;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;C1;Enseignement du premier degré;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;C2;Enseignement du second degré - premier cycle;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;C3;Enseignement du second degré - second cycle;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;C4;Enseignement supérieur non-universitaire;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;C5;Enseignement supérieur universitaire;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;C6;Formation continue;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;C7;Autres services de l'éducation;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;D1;Etablissements et services de santé;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;D2;Fonctions médicales et paramédicales (à titre libéral);CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;D3;Autres établissements et services à caractère sanitaire;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;D4;Action sociale pour personnes âgées;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;D5;Action sociale pour enfants en bas-âge;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;D6;Action sociale pour handicapés;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;D7;Autres services d'action sociale;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;E1;Infrastructures de transports;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;F1;Equipements sportifs;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;F2;Equipements de loisirs;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;F3;Equipements culturels et socioculturels;CHAR;2;;
SDOM;Sous-domaine d'appartenance de l'équipement;G1;Tourisme;CHAR;2;;
SECT;Appartenance au secteur public ou privé d'enseignement;PR;Secteur privé;CHAR;2;;
SECT;Appartenance au secteur public ou privé d'enseignement;PU;Secteur public;CHAR;2;;
SECT;Appartenance au secteur public ou privé d'enseignement;_U;Indéterminé;CHAR;2;;
SECT;Appartenance au secteur public ou privé d'enseignement;_Z;Sans objet;CHAR;2;;
SIRET;Numéro SIRET de l'équipement;;;CHAR;14;;
SPECIALITE;Spécialité du professionnel;;;CHAR;80;;
SSTYPHEB;Sous-type d'hébergement;AH;Autres hébergements;CHAR;2;;
SSTYPHEB;Sous-type d'hébergement;RT;Résidence de tourisme;CHAR;2;;
SSTYPHEB;Sous-type d'hébergement;VV;Village vacances;CHAR;2;;
SSTYPHEB;Sous-type d'hébergement;_Z;Sans objet;CHAR;2;;
STATUT_DIFFUSION;Statut de diffusion Sirene;O;Diffusion totale;CHAR;2;;
STATUT_DIFFUSION;Statut de diffusion Sirene;P;Diffusion partielle;CHAR;2;;
STATUT_DIFFUSION;Statut de diffusion Sirene;_Z;Sans objet;CHAR;2;;
STRUCTURE_EXERCICE;Structure d'exercice de l'activité;CG;Cabinet de groupe;CHAR;2;;
STRUCTURE_EXERCICE;Structure d'exercice de l'activité;CI;Cabinet individuel;CHAR;2;;
STRUCTURE_EXERCICE;Structure d'exercice de l'activité;ES;Exercice en société;CHAR;2;;
STRUCTURE_EXERCICE;Structure d'exercice de l'activité;_U;Indéterminé;CHAR;2;;
STRUCTURE_EXERCICE;Structure d'exercice de l'activité;_Z;Sans objet;CHAR;2;;
TR_DIST_PRECISION;Erreur maximum de positionnement dans la voie ou le lieu-dit;< 100;Moins de 100 mètres;CHAR;11;;
TR_DIST_PRECISION;Erreur maximum de positionnement dans la voie ou le lieu-dit;>= 500;500 mètres ou plus;CHAR;11;;
TR_DIST_PRECISION;Erreur maximum de positionnement dans la voie ou le lieu-dit;[100 - 500[;De 100 à moins de 500 mètres;CHAR;11;;
TR_DIST_PRECISION;Erreur maximum de positionnement dans la voie ou le lieu-dit;_U;Indéterminé;CHAR;11;;
TR_DIST_PRECISION;Erreur maximum de positionnement dans la voie ou le lieu-dit;_Z;Sans objet;CHAR;11;;
TYPE;Type de lieux;1;Fixe;CHAR;2;;
TYPE;Type de lieux;2;Bus ou équivalent;CHAR;2;;
TYPE;Type de lieux;3;Antenne fixe;CHAR;2;;
TYPE;Type de lieux;4;Itinérant;CHAR;2;;
TYPE;Type de lieux;5;Multi-sites;CHAR;2;;
TYPE;Type de lieux;_U;Indéterminé;CHAR;2;;
TYPE;Type de lieux;_Z;Sans objet;CHAR;2;;
TYPEQU;Type d'équipement;A101;POLICE;CHAR;4;;
TYPEQU;Type d'équipement;A104;GENDARMERIE;CHAR;4;;
TYPEQU;Type d'équipement;A105;COUR D’APPEL;CHAR;4;;
TYPEQU;Type d'équipement;A108;CONSEIL DE PRUD’HOMMES;CHAR;4;;
TYPEQU;Type d'équipement;A109;TRIBUNAL DE COMMERCE;CHAR;4;;
TYPEQU;Type d'équipement;A120;DIRECTION RÉGIONALE DES FINANCES PUBLIQUES;CHAR;4;;
TYPEQU;Type d'équipement;A121;DIRECTION DÉPARTEMENTALE DES FINANCES PUBLIQUES;CHAR;4;;
TYPEQU;Type d'équipement;A122;RÉSEAU DE PROXIMITÉ FRANCE TRAVAIL;CHAR;4;;
TYPEQU;Type d'équipement;A124;MAISON DE JUSTICE ET DU DROIT;CHAR;4;;
TYPEQU;Type d'équipement;A125;ANTENNE DE JUSTICE;CHAR;4;;
TYPEQU;Type d'équipement;A126;CONSEIL DÉPARTEMENTAL D’ACCÈS AU DROIT;CHAR;4;;
