COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE;LONGUEUR;NOMENCLATURE;COMMENTAIRES
TYPEQU;Type d'équipement;D107;MATERNITÉ;CHAR;4;;
TYPEQU;Type d'équipement;D108;CENTRE DE SANTÉ;CHAR;4;;
TYPEQU;Type d'équipement;D109;STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE;CHAR;4;;
TYPEQU;Type d'équipement;D110;CENTRE DE MÉDECINE PRÉVENTIVE;CHAR;4;;
TYPEQU;Type d'équipement;D111;DIALYSE;CHAR;4;;
TYPEQU;Type d'équipement;D112;HOSPITALISATION À DOMICILE;CHAR;4;;
TYPEQU;Type d'équipement;D113;MAISON DE SANTÉ PLURIDISCIPLINAIRE;CHAR;4;;
TYPEQU;Type d'équipement;D114;SERVICE DE PRISE EN CHARGE DES ADDICTIONS;CHAR;4;;
TYPEQU;Type d'équipement;D115;SERVICES DE SANTÉ MATERNELLE ET INFANTILE;CHAR;4;;
TYPEQU;Type d'équipement;D245;PROFESSIONNELS DE L’APPAREILLAGE;CHAR;4;;
TYPEQU;Type d'équipement;D247;ERGOTHÉRAPEUTE;CHAR;4;;
TYPEQU;Type d'équipement;D248;PSYCHOMOTRICIEN;CHAR;4;;
TYPEQU;Type d'équipement;D249;DIÉTÉTICIEN;CHAR;4;;
TYPEQU;Type d'équipement;D250;PSYCHOLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D251;ALLERGOLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D252;ANESTHÉSISTE-RÉANIMATEUR;CHAR;4;;
TYPEQU;Type d'équipement;D253;SPÉCIALISTE EN CHIRURGIE GÉNÉRALE;CHAR;4;;
TYPEQU;Type d'équipement;D254;SPÉCIALISTE EN CHIRURGIE ORTHOPÉDIQUE, PLASTIQUE ET TRAUMATOLOGIQUE;CHAR;4;;
TYPEQU;Type d'équipement;D255;ENDOCRINOLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D256;GÉRIATRE;CHAR;4;;
TYPEQU;Type d'équipement;D257;HÉMATOLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D258;SPÉCIALISTE EN MÉDECINE PHYSIQUE ET DE RÉADAPTATION;CHAR;4;;
TYPEQU;Type d'équipement;D259;NEUROLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D260;SPÉCIALISTE EN ONCOLOGIE, ANATOMIE ET CYTOLOGIE PATHOLOGIQUES;CHAR;4;;
TYPEQU;Type d'équipement;D261;RHUMATOLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D262;UROLOGUE, NÉPHROLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D265;MÉDECIN GÉNÉRALISTE;CHAR;4;;
TYPEQU;Type d'équipement;D266;SPÉCIALISTE EN CARDIOLOGIE;CHAR;4;;
TYPEQU;Type d'équipement;D267;SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE;CHAR;4;;
TYPEQU;Type d'équipement;D268;SPÉCIALISTE EN GASTRO-ENTÉROLOGIE HÉPATOLOGIE;CHAR;4;;
TYPEQU;Type d'équipement;D269;SPÉCIALISTE EN PSYCHIATRIE;CHAR;4;;
TYPEQU;Type d'équipement;D270;SPÉCIALISTE EN OPHTALMOLOGIE;CHAR;4;;
TYPEQU;Type d'équipement;D271;SPÉCIALISTE EN OTO-RHINO-LARYNGOLOGIE;CHAR;4;;
TYPEQU;Type d'équipement;D272;SPÉCIALISTE EN PÉDIATRIE;CHAR;4;;
TYPEQU;Type d'équipement;D273;SPÉCIALISTE EN PNEUMOLOGIE;CHAR;4;;
TYPEQU;Type d'équipement;D274;SPÉCIALISTE EN RADIODIAGNOSTIC ET IMAGERIE MÉDICALE;CHAR;4;;
TYPEQU;Type d'équipement;D275;SPÉCIALISTE EN STOMATOLOGIE;CHAR;4;;
TYPEQU;Type d'équipement;D276;SPÉCIALISTE EN GYNÉCOLOGIE MÉDICALE ET/OU OBSTÉTRIQUE;CHAR;4;;
TYPEQU;Type d'équipement;D277;CHIRURGIEN DENTISTE;CHAR;4;;
TYPEQU;Type d'équipement;D278;SAGE-FEMME;CHAR;4;;
TYPEQU;Type d'équipement;D279;MASSEUR KINÉSITHÉRAPEUTE;CHAR;4;;
TYPEQU;Type d'équipement;D280;PÉDICURE-PODOLOGUE;CHAR;4;;
TYPEQU;Type d'équipement;D281;INFIRMIER;CHAR;4;;
TYPEQU;Type d'équipement;D302;LABORATOIRE D ANALYSES ET DE BIOLOGIE MÉDICALE;CHAR;4;;
TYPEQU;Type d'équipement;D303;AMBULANCE;CHAR;4;;
TYPEQU;Type d'équipement;D304;TRANSFUSION SANGUINE;CHAR;4;;
TYPEQU;Type d'équipement;D305;ÉTABLISSEMENT THERMAL;CHAR;4;;
TYPEQU;Type d'équipement;D307;PHARMACIE;CHAR;4;;
TYPEQU;Type d'équipement;D401;PERSONNES ÂGÉES : HÉBERGEMENT;CHAR;4;;
TYPEQU;Type d'équipement;D402;PERSONNES ÂGÉES : SOINS À DOMICILE;CHAR;4;;
TYPEQU;Type d'équipement;D403;PERSONNES ÂGÉES : SERVICES D’AIDE;CHAR;4;;
TYPEQU;Type d'équipement;D502;ÉTABLISSEMENT D’ACCUEIL DU JEUNE ENFANT;CHAR;4;;
TYPEQU;Type d'équipement;D503;LIEUX D'ACCUEIL ENFANT-PARENT;CHAR;4;;
TYPEQU;Type d'équipement;D504;RELAIS PETITE ENFANCE;CHAR;4;;
TYPEQU;Type d'équipement;D505;ACCUEIL DE LOISIR SANS HÉBERGEMENT;CHAR;4;;
TYPEQU;Type d'équipement;D506;CENTRES SOCIAUX;CHAR;4;;
TYPEQU;Type d'équipement;D507;MÉDIATION FAMILIALE;CHAR;4;;
TYPEQU;Type d'équipement;D601;ENFANTS HANDICAPÉS : HÉBERGEMENT;CHAR;4;;
TYPEQU;Type d'équipement;D602;ENFANTS HANDICAPÉS : SERVICES À DOMICILE OU AMBULATOIRES;CHAR;4;;
TYPEQU;Type d'équipement;D603;ADULTES HANDICAPÉS : ACCUEIL/HÉBERGEMENT;CHAR;4;;
TYPEQU;Type d'équipement;D604;ADULTES HANDICAPÉS : SERVICES D’AIDE;CHAR;4;;
TYPEQU;Type d'équipement;D605;TRAVAIL PROTÉGÉ;CHAR;4;;
TYPEQU;Type d'équipement;D606;ADULTES HANDICAPÉS : SERVICES DE SOINS À DOMICILE;CHAR;4;;
TYPEQU;Type d'équipement;D607;SERVICE D’AIDE AUX DÉFICIENTS VISUELS OU AUDITIFS;CHAR;4;;
TYPEQU;Type d'équipement;D701;PROTECTION DE L’ENFANCE : HÉBERGEMENT;CHAR;4;;
TYPEQU;Type d'équipement;D702;PROTECTION DE L’ENFANCE : ACTION ÉDUCATIVE;CHAR;4;;
TYPEQU;Type d'équipement;D703;CENTRE D’HÉBERGEMENT ET DE RÉINSERTION SOCIALE;CHAR;4;;
TYPEQU;Type d'équipement;D704;CENTRE PROVISOIRE D’HÉBERGEMENT;CHAR;4;;
TYPEQU;Type d'équipement;D705;CENTRE D'ACCUEIL DE DEMANDEURS D’ASILE;CHAR;4;;
TYPEQU;Type d'équipement;D710;AUTRES HÉBERGEMENTS POUR ADULTES ET FAMILLES EN DIFFICULTÉ;CHAR;4;;
TYPEQU;Type d'équipement;D711;SERVICE D’AIDE AUX FEMMES EN SITUATION DE VULNÉRABILITÉ;CHAR;4;;
TYPEQU;Type d'équipement;E101;TAXI-VTC;CHAR;4;;
TYPEQU;Type d'équipement;E102;AÉROPORT;CHAR;4;;
TYPEQU;Type d'équipement;E107;GARE DE VOYAGEURS D’INTÉRÊT NATIONAL;CHAR;4;;
TYPEQU;Type d'équipement;E108;GARE DE VOYAGEURS D’INTÉRÊT RÉGIONAL;CHAR;4;;
TYPEQU;Type d'équipement;E109;GARE DE VOYAGEURS D’INTÉRÊT LOCAL;CHAR;4;;
TYPEQU;Type d'équipement;F101;BASSIN DE NATATION;CHAR;4;;
TYPEQU;Type d'équipement;F102;BOULODROME;CHAR;4;;
TYPEQU;Type d'équipement;F103;TENNIS;CHAR;4;;
TYPEQU;Type d'équipement;F105;DOMAINE SKIABLE;CHAR;4;;
TYPEQU;Type d'équipement;F106;CENTRE ÉQUESTRE;CHAR;4;;
TYPEQU;Type d'équipement;F107;ATHLÉTISME;CHAR;4;;
TYPEQU;Type d'équipement;F108;TERRAIN DE GOLF;CHAR;4;;
TYPEQU;Type d'équipement;F109;PARCOURS SPORTIF/SANTÉ;CHAR;4;;
TYPEQU;Type d'équipement;F110;SPORTS DE GLACE;CHAR;4;;
TYPEQU;Type d'équipement;F111;PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS;CHAR;4;;
TYPEQU;Type d'équipement;F113;TERRAINS DE GRANDS JEUX;CHAR;4;;
TYPEQU;Type d'équipement;F114;SALLES DE COMBAT;CHAR;4;;
TYPEQU;Type d'équipement;F116;SALLES NON SPÉCIALISÉES;CHAR;4;;
TYPEQU;Type d'équipement;F118;SPORTS NAUTIQUES;CHAR;4;;
TYPEQU;Type d'équipement;F119;BOWLING;CHAR;4;;
TYPEQU;Type d'équipement;F120;SALLES DE REMISE EN FORME;CHAR;4;;
TYPEQU;Type d'équipement;F121;SALLES MULTISPORTS, GYMNASES;CHAR;4;;
TYPEQU;Type d'équipement;F122;CIRCUIT / PISTE DE SPORTS MÉCANIQUES;CHAR;4;;
TYPEQU;Type d'équipement;F123;MUR ET FRONTON;CHAR;4;;
TYPEQU;Type d'équipement;F124;PAS DE TIR;CHAR;4;;
TYPEQU;Type d'équipement;F125;SITE D'ACTIVITÉS AÉRIENNES;CHAR;4;;
TYPEQU;Type d'équipement;F126;SITE DE MODÉLISME;CHAR;4;;
TYPEQU;Type d'équipement;F127;STRUCTURE ARTIFICIELLE D’ESCALADE;CHAR;4;;
TYPEQU;Type d'équipement;F128;ÉQUIPEMENTS DE CYCLISME;CHAR;4;;
TYPEQU;Type d'équipement;F129;SALLES SPÉCIALISÉES;CHAR;4;;
TYPEQU;Type d'équipement;F130;SKATEPARK & VÉLO-FREESTYLE;CHAR;4;;
TYPEQU;Type d'équipement;F201;BAIGNADE AMÉNAGÉE;CHAR;4;;
TYPEQU;Type d'équipement;F202;PORT DE PLAISANCE – MOUILLAGE;CHAR;4;;
TYPEQU;Type d'équipement;F203;BOUCLE DE RANDONNÉE ET PARCOURS DE COURSE D’ORIENTATION;CHAR;4;;
TYPEQU;Type d'équipement;F204;ÉQUIPEMENTS DE SPORTS DE NATURE;CHAR;4;;
TYPEQU;Type d'équipement;F303;CINÉMA;CHAR;4;;
TYPEQU;Type d'équipement;F305;CONSERVATOIRE;CHAR;4;;
TYPEQU;Type d'équipement;F307;BIBLIOTHÈQUE;CHAR;4;;
TYPEQU;Type d'équipement;F312;EXPOSITION ET MÉDIATION CULTURELLE;CHAR;4;;
TYPEQU;Type d'équipement;F313;ESPACE REMARQUABLE ET PATRIMOINE;CHAR;4;;
TYPEQU;Type d'équipement;F314;ARCHIVES;CHAR;4;;
TYPEQU;Type d'équipement;F315;ARTS DU SPECTACLE;CHAR;4;;
TYPEQU;Type d'équipement;G101;AGENCE DE VOYAGE;CHAR;4;;
TYPEQU;Type d'équipement;G102;HÔTEL;CHAR;4;;
TYPEQU;Type d'équipement;G103;CAMPING;CHAR;4;;
TYPEQU;Type d'équipement;G104;INFORMATION TOURISTIQUE;CHAR;4;;
TYPEQU;Type d'équipement;G105;AUTRES HÉBERGEMENTS COLLECTIFS TOURISTIQUES;CHAR;4;;
TYPVOIE;Type de voie de l'adresse d'implantation de l'équipement;;;CHAR;4;;
UU2020;Unité urbaine 2020 d'implantation de l'équipement;liste;liste;CHAR;5;millésime 2024;https://www.insee.fr/fr/information/8063612
UU2020;Unité urbaine 2020 d'implantation de l'équipement;CSZ;Commune sans zonage. La commune n'est pas concernée par les UU2020.;CHAR;5;;Modalité spécifique à la BPE
ZUS;Zone urbaine sensible d'appartenance de l'équipement;liste;liste;CHAR;7;millésime 2001;https://sig.ville.gouv.fr/atlas/ZUS
ZUS;Zone urbaine sensible d'appartenance de l'équipement;CSZ;Commune sans zonage. La commune n'est pas concernée par les ZUS.;CHAR;7;;Modalité spécifique à la BPE
ZUS;Zone urbaine sensible d'appartenance de l'équipement;HZ;hors zonage : localisation hors du zonage ZUS.;CHAR;7;;Modalité spécifique à la BPE
ZUS;Zone urbaine sensible d'appartenance de l'équipement;IND;l’appartenance au zonage ZUS est indéterminée.;CHAR;7;;Modalité spécifique à la BPE
